"id_transaksi";"id_barang";"id_user";"harga_hijab";"nomor_transaksi";"tanggal";"Qty";"total_hijab"
"1";;;;"hjb50";"2020-01-25";"20";"0"
"2";;;;"hjb51";"2020-01-25";"21";"0"
"3";;;;"hjb52";"2020-01-25";"22";"0"
"4";;;;"hjb53";"2020-01-25";"23";"0"
"5";;;;"hjb54";"2020-01-25";"24";"0"
"6";;;;"hjb55";"2020-01-25";"25";"0"
"7";;;;"hjb56";"2020-01-25";"26";"0"
"8";;;;"hjb57";"2020-01-25";"27";"0"
"9";;;;"hjb58";"2020-01-25";"28";"0"
"10";;;;"hjb59";"2020-01-25";"29";"0"
"11";;;;"hjb60";"2020-01-25";"30";"0"
"12";;;;"hjb61";"2020-01-25";"31";"0"
"13";;;;"hjb62";"2020-01-25";"32";"0"
"14";;;;"hjb63";"2020-01-25";"33";"0"
"15";;;;"hjb64";"2020-01-25";"34";"0"
"16";;;;"hjb70";"2020-01-25";"40";"0"
"17";;;;"hjb71";"2020-01-25";"41";"0"
"18";;;;"hjb72";"2020-01-25";"42";"0"
"19";;;;"hjb73";"2020-01-25";"43";"0"
"20";;;;"hjb74";"2020-01-25";"44";"0"
"21";;;;"hjb75";"2020-01-25";"45";"0"
"22";;;;"hjb76";"2020-01-25";"46";"0"
"23";;;;"hjb77";"2020-01-25";"47";"0"
"24";;;;"hjb78";"2020-01-25";"48";"0"
"25";;;;"hjb79";"2020-01-25";"49";"0"
"26";;;;"hjb80";"2020-01-25";"50";"0"
"27";;;;"hjb81";"2020-01-25";"51";"0"
"28";;;;"hjb82";"2020-01-25";"52";"0"
"29";;;;"hjb83";"2020-01-25";"53";"0"
"30";;;;"hjb84";"2020-01-25";"54";"0"
"31";;;;"hjb50";"2020-01-25";"20";"0"
"32";;;;"hjb51";"2020-01-25";"21";"0"
"33";;;;"hjb52";"2020-01-25";"22";"0"
"34";;;;"hjb53";"2020-01-25";"23";"0"
"35";;;;"hjb54";"2020-01-25";"24";"0"
"36";;;;"hjb55";"2020-01-25";"25";"0"
"37";;;;"hjb56";"2020-01-25";"26";"0"
"38";;;;"hjb57";"2020-01-25";"27";"0"
"39";;;;"hjb58";"2020-01-25";"28";"0"
"40";;;;"hjb59";"2020-01-25";"29";"0"
"41";;;;"hjb60";"2020-01-25";"30";"0"
"42";;;;"hjb61";"2020-01-25";"31";"0"
"43";;;;"hjb62";"2020-01-25";"32";"0"
"44";;;;"hjb63";"2020-01-25";"33";"0"
"45";;;;"hjb64";"2020-01-25";"34";"0"
"46";;;;"hjb70";"2020-01-25";"40";"0"
"47";;;;"hjb71";"2020-01-25";"41";"0"
"48";;;;"hjb72";"2020-01-25";"42";"0"
"49";;;;"hjb73";"2020-01-25";"43";"0"
"50";;;;"hjb74";"2020-01-25";"44";"0"
"51";;;;"hjb75";"2020-01-25";"45";"0"
"52";;;;"hjb76";"2020-01-25";"46";"0"
"53";;;;"hjb77";"2020-01-25";"47";"0"
"54";;;;"hjb78";"2020-01-25";"48";"0"
"55";;;;"hjb79";"2020-01-25";"49";"0"
"56";;;;"hjb80";"2020-01-25";"50";"0"
"57";;;;"hjb81";"2020-01-25";"51";"0"
"58";;;;"hjb82";"2020-01-25";"52";"0"
"59";;;;"hjb83";"2020-01-25";"53";"0"
"60";;;;"hjb84";"2020-01-25";"54";"0"
